cell_id,city,lat,lon,ndvi_mean,ndvi_std,built_up_index,green_space_ratio,night_lights_intensity,land_use_mix
896a3b202844098e,Quito,-0.138101,-78.573998,0.4146,0.1158,0.2391,0.8361,8.82,0.475
888df8f602b97e89,Quito,-0.076813,-78.375944,0.4033,0.0685,0.062,1.0,23.93,0.2661
858ae4a921d54fd7,Quito,-0.448267,-78.600218,0.5137,0.0509,0.0223,0.8883,18.12,0.0915
8d71604967ed7363,Quito,-0.162422,-78.501624,0.3078,0.1826,0.5498,0.4419,43.48,0.5968
8973a7360e21ac03,Quito,-0.18231,-78.555304,0.3275,0.1217,0.2456,0.6594,25.2,0.4258
8fe41220626d51ab,Quito,-0.059083,-78.392221,0.4015,0.1262,0.1243,0.9408,10.07,0.3094
83bb03c200b56681,Quito,-0.170921,-78.357276,0.4028,0.0788,0.2288,0.8068,21.06,0.4092
85f64ca0bc616e5e,Quito,-0.115717,-78.555929,0.3265,0.1373,0.2365,0.5902,14.9,0.4333
8a4edd45e0c6eee5,Quito,-0.129297,-78.565888,0.431,0.1681,0.247,0.7814,15.25,0.4339
80afc424b91f5423,Quito,-0.059213,-78.474993,0.4787,0.0752,0.2522,0.7222,29.45,0.4261
8ff0cd7f6e209648,Quito,-0.205419,-78.538093,0.3531,0.1458,0.4133,0.5117,37.52,0.5221
820b14486faca8e1,Quito,-0.011901,-78.485453,0.49,0.1966,0.1301,1.0,13.94,0.2774
8a0b22bae27a1dac,Quito,-0.238895,-78.505213,0.3379,0.1304,0.3689,0.6365,41.16,0.5717
8f360310408edeba,Quito,-0.106807,-78.433456,0.3182,0.0571,0.3352,0.6818,21.06,0.5302
844b0bb4128f8ed6,Quito,-0.123249,-78.426918,0.2979,0.0671,0.2585,0.79,19.47,0.5634
8ab1c0f793b2b912,Quito,0.1,-78.510642,0.4824,0.1789,0.0596,0.9227,8.89,0.1574
863594b6f5b45391,Quito,-0.250433,-78.551377,0.4009,0.1959,0.2071,0.7719,25.15,0.3961
89a8d5607893e138,Quito,-0.095303,-78.357103,0.4717,0.1513,0.0771,0.8287,21.21,0.2658
80d08aed7604a749,Quito,-0.195668,-78.554016,0.4219,0.1618,0.2846,0.7099,38.46,0.4677
82e6734fdac68b9d,Quito,-0.293366,-78.404941,0.3702,0.1624,0.1468,0.7383,7.69,0.3983
8953a9b58b8d6117,Quito,-0.077803,-78.415685,0.4218,0.1732,0.1447,0.8269,27.73,0.3533
807b3db16f7a4451,Quito,-0.271508,-78.446784,0.4233,0.1344,0.3225,0.5697,19.41,0.458
82e0aec4384893df,Quito,-0.163956,-78.448131,0.2321,0.1326,0.6522,0.2309,63.19,0.7205
8fb87cf96c9c700b,Quito,-0.060179,-78.44764,0.4499,0.1612,0.1919,0.8431,11.97,0.3755
836f5b5e14ba9744,Quito,-0.086649,-78.463242,0.2509,0.0927,0.1982,0.7632,27.61,0.4515
8ab9985fb3cfa455,Quito,-0.140246,-78.406871,0.3331,0.0552,0.2828,0.7525,40.53,0.5255
85b057ea969496e6,Quito,-0.380359,-78.501967,0.4784,0.0986,0.1752,0.7654,19.31,0.2208
896bcf7266886fa4,Quito,-0.244676,-78.533888,0.3861,0.1849,0.3637,0.6182,33.64,0.4825
8bb70df7e5f195f0,Quito,-0.217832,-78.320506,0.4675,0.1113,0.1034,0.7931,12.97,0.2818
88811249ab058255,Quito,-0.299052,-78.373172,0.4018,0.1805,0.1369,0.8355,2.75,0.3233
8fb7dda51889a9c9,Guayaquil,-2.3,-79.949302,0.4731,0.055,0.0936,0.921,20.85,0.3408
8b28b220ea2b9458,Guayaquil,-2.155759,-79.868706,0.3024,0.1031,0.3652,0.6344,58.27,0.6531
86dba9ae8165eb4d,Guayaquil,-2.107768,-79.850582,0.3871,0.0562,0.3017,0.6277,38.47,0.4203
8903fe86c450edbe,Guayaquil,-2.200513,-79.960456,0.3529,0.1362,0.4633,0.5071,50.11,0.5302
821110b4a65de73b,Guayaquil,-2.094927,-79.936739,0.2677,0.1253,0.2712,0.828,25.75,0.5355
8a4379d17cbe53ae,Guayaquil,-2.281623,-80.019163,0.4627,0.0631,0.1293,0.8237,9.4,0.2536
83ee4638d9dc3815,Guayaquil,-2.250452,-79.876498,0.3455,0.1876,0.3,0.678,29.68,0.4326
86c2c74d56df9d1a,Guayaquil,-2.157538,-79.859583,0.4066,0.0753,0.4573,0.4139,47.98,0.559
80e7618582030f12,Guayaquil,-2.207385,-79.906128,0.2594,0.1716,0.5038,0.4046,65.55,0.6
8c027b7366e64d8e,Guayaquil,-2.115261,-79.947068,0.3235,0.1516,0.4968,0.4516,53.03,0.5876
867df4de09929766,Guayaquil,-2.130032,-79.977919,0.3542,0.1552,0.3443,0.6892,48.67,0.508
8267c8b7bf35cb3e,Guayaquil,-2.201767,-79.953402,0.3292,0.0984,0.5174,0.4175,75.11,0.6333
800f580865aed227,Guayaquil,-2.274636,-79.87739,0.3921,0.0823,0.2425,0.7994,29.86,0.3621
84af267540e61b17,Guayaquil,-2.211073,-79.918907,0.1844,0.0952,0.5682,0.4679,59.57,0.6257
85b5bc02486fa4e0,Guayaquil,-2.127935,-79.880929,0.2954,0.1921,0.4032,0.5497,43.67,0.5614
807d3e4c704fa43e,Guayaquil,-2.111779,-79.928617,0.3568,0.0877,0.3605,0.7202,48.79,0.6087
